row_index,doc_id,title,date,president,source_category,location,url,verse_range,verse_text,snippet_norm,judgement,confidence,match_proba,start_token,end_token,window_token_count,window_mid_token,token_count_norm,word_count,start_pct_through_speech,mid_pct_through_speech,end_pct_through_speech,source_chunk
1099,-2017763292045266718,"Remarks in Denver, Colorado",1932-11-06,Herbert Hoover,spoken-addresses-and-remarks,Colorado,https://www.presidency.ucsb.edu/documents/remarks-denver-colorado,Exodus 20:8,"Remember the sabbath day, to keep it holy.",back many times and have many friendships which have grown steadily over these years it would not be proper for me on this sabbath day to enter upon a discussion of political issues sunday is provided as a day of rest i have certainly been engaged in hard labor and i am thankful for the sabbath day i do wish to express my appreciation for the generosity of your reception it is encouraging to any man in public service to,TRUE,0.8,0.3217367913833892,30,110,80,70.0,984,997,0.03048780487804878,0.07113821138211382,0.11178861788617886,windows_part_01
837,-5915140712479334509,Inaugural Address,1933-03-04,Franklin D. Roosevelt,spoken-addresses-and-remarks,"Washington, DC",https://www.presidency.ucsb.edu/documents/inaugural-address-8,Proverbs 29:18,"Where there is no vision, the people perish: but he that keepeth the law, happy is he.",to exhortations pleading tearfully for restored confidence they only know the rules of a generation of self-seekers they have no vision and when there is no vision the people perish yes the money changers have fled from their high seats in the temple of our civilization we may now restore that temple to the ancient,TRUE,0.9,0.5831370829853096,470,525,55,497.5,2012,2025,0.23359840954274355,0.24726640159045726,0.26093439363817095,windows_part_04
621,7092650389551530043,Address before the Federal Council of Churches of Christ in America,1933-12-06,Franklin D. Roosevelt,spoken-addresses-and-remarks,,https://www.presidency.ucsb.edu/documents/address-before-the-federal-council-churches-christ-america,Deuteronomy 5:17,Thou shalt not kill.,collective murder-lynch law-which has broken out in our midst anew we know that it is murder and a deliberate and definite disobedience of the commandment thou shalt not kill we do not excuse those in high places or in low who condone lynch law but a thinking america goes farther it seeks a government of,TRUE,1.0,0.3268028666360371,615,670,55,642.5,982,995,0.6262729124236253,0.6542769857433809,0.6822810590631364,windows_part_11
622,7092650389551530043,Address before the Federal Council of Churches of Christ in America,1933-12-06,Franklin D. Roosevelt,spoken-addresses-and-remarks,,https://www.presidency.ucsb.edu/documents/address-before-the-federal-council-churches-christ-america,Exodus 20:13,Thou shalt not kill.,collective murder-lynch law-which has broken out in our midst anew we know that it is murder and a deliberate and definite disobedience of the commandment thou shalt not kill we do not excuse those in high places or in low who condone lynch law but a thinking america goes farther it seeks a government of,TRUE,1.0,0.5750056816338612,615,670,55,642.5,982,995,0.6262729124236253,0.6542769857433809,0.6822810590631364,windows_part_11
876,5909433813615402840,Address at a Memorial to William Jennings Bryan.,1934-05-03,Franklin D. Roosevelt,spoken-addresses-and-remarks,,https://www.presidency.ucsb.edu/documents/address-memorial-william-jennings-bryan,2 Timothy 4:7,"I have fought a good fight, I have finished my course, I have kept the faith:",of wealth but i thank god for the democracy of the heart many years ago he also said you may dispute over whether i have fought a good fight you may dispute over whether i have finished my course but you cannot deny that i have kept the faith we who are assembled here today to accept this memorial in the capital of the republic can well agree that he fought a good fight that he finished his course and that he kept the faith franklin d roosevelt address at a memorial to william jennings bryan,TRUE,1.0,0.9247877465655604,375,471,96,423.0,471,484,0.7961783439490446,0.8980891719745223,1.0,windows_part_10
532,-662354789050398407,Proclamation 2107—Thanksgiving Day,1934-11-15,Franklin D. Roosevelt,proclamations,,https://www.presidency.ucsb.edu/documents/proclamation-2107-thanksgiving-day,Mark 8:36,"For what shall it profit a man, if he shall gain the whole world, and lose his own soul?",reality more greatly have we turned our hearts and minds to things spiritual we can truly say what profiteth it a nation if it gain the whole world and lose its own soul with gratitude in our hearts for what has already been achieved may we with the help of god dedicate ourselves anew to,TRUE,0.9,0.8299329105265462,135,190,55,162.5,205,218,0.6585365853658537,0.7926829268292683,0.926829268292683,
1275,-6232703986482476392,Christmas Greeting to the Nation,1934-12-24,Franklin D. Roosevelt,spoken-addresses-and-remarks,,https://www.presidency.ucsb.edu/documents/christmas-greeting-the-nation-8,Joshua 1:9,"Have not I commanded thee? Be strong and of a good courage; be not afraid, neither be thou dismayed: for the Lord thy God is with thee whithersoever thou goest.",maker of christmas would have it mean in this sense the scriptures admonish us to be strong and of good courage to fear not to dwell together in unity i wish you one and all here and everywhere a very very merry christmas franklin d roosevelt christmas greeting to the nation,TRUE,0.9,0.2745401461148073,315,366,51,340.5,366,379,0.860655737704918,0.930327868852459,1.0,windows_part_04
1275,-6232703986482476392,Christmas Greeting to the Nation,1934-12-24,Franklin D. Roosevelt,spoken-addresses-and-remarks,,https://www.presidency.ucsb.edu/documents/christmas-greeting-the-nation-8,Psalms 133:1,"Behold, how good and how pleasant it is for brethren to dwell together in unity!",maker of christmas would have it mean in this sense the scriptures admonish us to be strong and of good courage to fear not to dwell together in unity i wish you one and all here and everywhere a very very merry christmas franklin d roosevelt christmas greeting to the nation,TRUE,0.9,0.2745401461148073,315,366,51,340.5,366,379,0.860655737704918,0.930327868852459,1.0,windows_part_04
945,-4619928469727352439,Christmas Greeting to the Nation,1935-12-24,Franklin D. Roosevelt,spoken-addresses-and-remarks,,https://www.presidency.ucsb.edu/documents/christmas-greeting-the-nation-7,Luke 2:14,"Glory to God in the highest, and on earth peace, good will toward men.",greet you with the greeting of the angels on that first christmas at bethlehem which resounding through centuries still rings out with its eternal message glory to god in the highest and on earth peace good-will to men franklin d roosevelt christmas greeting to the nation,TRUE,0.95,0.9461231872142516,345,391,46,368.0,391,404,0.8823529411764706,0.9411764705882353,1.0,windows_part_03
1122,-7495068189783715567,Annual Message to Congress,1936-01-03,Franklin D. Roosevelt,spoken-addresses-and-remarks,"Washington, DC",https://www.presidency.ucsb.edu/documents/annual-message-congress-2,Matthew 7:20,Wherefore by their fruits ye shall know them.,instilled into their own affairs autocracy toward labor toward stockholders toward consumers toward public sentiment autocrats in smaller things they seek autocracy in bigger things by their fruits ye shall know them if these gentlemen believe as they say they believe that the measures adopted by this congress and its predecessor and carried out by,TRUE,0.9,0.4872583741411222,2380,2435,55,2407.5,3815,3834,0.6238532110091743,0.6310615989515073,0.6382699868938401,windows_part_05
